Transaction Hash,Status,Method,Blockno,DateTime (UTC-7),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xec5772839a44d7846ae0441918535c6b164e9db28231cd4225ef28ff92e63952","Success","Transfer*","23687265","2025-10-29 19:36:35","0xf70da97812cb96acdf810712aa562db8dfa3dbef","vthayer.eth.io","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","26.993238384 ETH","$51,694.75","0.00001474"
"0x57323af5910f32105a32d5752726edbcd06d5f2c8af106d27cfc3d1f8ee113d1","Success","Transfer*","23687260","2025-10-29 19:35:35","0xf70da97812cb96acdf810712aa562db8dfa3dbef","vthayer.eth.io","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","9.99748876 ETH","$19,146.19","0.00001545"
"0xf104502073534a6a57a9020c5c975bdddd804119b9e2343c9d30d1840fb37ba8","Success","Transfer","23348831","2025-09-12 11:39:23","0xbb24d152a26e2d3ed0a3811d14af197736635c62","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.027329078 ETH","$52.34","0.00003818"
"0x2746abf89af5375cbb05a8533118d08db386c6edf3aa93ff1c8aaecb4d848400","Success","Transfer","23249633","2025-08-29 15:01:11","0x7552990ae97ba0fd3fb23182faac41204dc3697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000001 ETH","$0.00","0.00000669"
"0x924eb72d0b0c79ed7574c5eddbce9f990f6af6a141502b0ea56ba136d3ac89b7","Success","Transfer","23249623","2025-08-29 14:59:11","0x75527a3e14cd29c14169c591920ca391fce8697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000000001 ETH","$0.00","0.00000636"
"0xe346039f2b009acd013a2e11b3de01027ffc8428f3a1e5dc00664cdef9ec8db0","Success","Transfer","23249180","2025-08-29 13:29:59","0x7552990ae97ba0fd3fb23182faac41204dc3697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000001 ETH","$0.00","0.00000715"
"0x0bf120fa6d6f89c022c91620eedc657678b6198b04d5bac5155ce6bd9218cea1","Success","Transfer","23249171","2025-08-29 13:28:11","0x7552258292e104a3bdbe26dcaaa63fcfd65c697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000001 ETH","$0.00","0.00000632"
"0x68fcfa9d3d6a075a8a50595db2d7949c89d8a8b822981f522c16abe0928bdadd","Success","Transfer","23249147","2025-08-29 13:23:23","0x7552990ae97ba0fd3fb23182faac41204dc3697a","","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0.000000001 ETH","$0.00","0.00000964"
"0xd65b68ad3ea2dfe65f887f1254ee0cb10b2977c54e30da916a0108106d8d3e3e","Success","Transfer","23249135","2025-08-29 13:20:47","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0x7552f8b8da3e07c50a7466f2db618ae1e909697a","vthayer.base.eth","50 ETH","$95,755.00","0.00002807"
"0x70e995f233cdf6b74b0e647064772bea8f9166f96aa69a296f9c3ec357d320db","Success","Transfer","23249128","2025-08-29 13:19:23","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","0x7552f8b8da3e07c50a7466f2db618ae1e909697a","vthayer.base.eth","1 ETH","$1,915.10","0.00002819"
"0xa6420949f3fb508fa27772ef6263148dd5f9e724777bce7d907e68a647774eca","Success","Transfer*","23249108","2025-08-29 13:15:23","0xf70da97812cb96acdf810712aa562db8dfa3dbef","vthayer.eth.io","0x79a96acb7a52a94257b6c07170cb72bd04621868","vthayer.base.eth","46.008894415 ETH","$88,111.63","0.00001497"
